id,name,height,date_of_birth,known_for_movies
nm0000600,Sam Raimi,180,1959-10-23,tt0083907
nm0000616,Eric Roberts,178,1956-04-18,tt5836706
nm0000113,Sandra Bullock,171,1964-07-26,
nm0000667,David Thewlis,190,1963-03-20,tt0451279
nm0000680,Casper Van Dien,178,1968-12-18,tt0437086
nm0000115,Nicolas Cage,183,1964-01-07,
nm0000681,Vince Vaughn,196,1970-03-28,tt5657856
nm0000119,Tia Carrere,173,1967-01-02,
nm0000706,Michelle Yeoh,163,1962-08-06,tt3104988
nm0000123,George Clooney,180,1961-05-06,
nm0000729,Casey Affleck,175,1975-08-12,tt4034228
nm0000126,Kevin Costner,185,1955-01-18,
nm0000776,Michael Apted,180,1941-02-10,tt1734493
nm0000801,Olivier Assayas,,1955-01-25,tt4714782
nm0000131,John Cusack,188,1966-06-28,
nm0000906,Annette Bening,173,1958-05-29,tt4385888
nm0000132,Claire Danes,166,1979-04-12,
nm0000915,Bruce Beresford,,1940-08-16,tt6684884
nm0000136,Johnny Depp,178,1963-06-09,
nm0000953,Peter Bogdanovich,178,1939-07-30,tt0069049
nm0000138,Leonardo DiCaprio,183,1974-11-11,
nm0000973,Benjamin Bratt,187,1963-12-16,tt2380307
nm0000140,Michael Douglas,178,1944-09-25,
nm0000982,Josh Brolin,179,1968-02-12,"tt4154796,tt4154756"
nm0000146,Ralph Fiennes,180,1962-12-22,
nm0001057,Toni Collette,173,1972-11-01,tt7784604
nm0000147,Colin Firth,187,1960-09-10,
nm0001068,Sofia Coppola,166,1971-05-14,tt5592248
nm0000149,Jodie Foster,160,1962-11-19,
nm0001194,Jeff Fahey,183,1952-11-29,tt0437086
nm0000150,Michael J. Fox,163,1961-06-09,
nm0001226,James Foley,,1953-12-28,tt4477536
nm0000151,Morgan Freeman,188,1937-06-01,
nm0001290,Richard E. Grant,188,1957-05-05,tt4595882
nm0000152,Richard Gere,178,1949-08-31,
nm0001295,Graham Greene,179,1952-06-22,tt5362988
nm0000153,Gina Gershon,168,1962-06-10,
nm0001327,David Hasselhoff,193,1952-07-17,tt3896198
nm0000154,Mel Gibson,177,1956-01-03,
nm0001376,Isabelle Huppert,157,1953-03-16,tt3716530
nm0000155,Whoopi Goldberg,165,1955-11-13,
nm0001416,Catherine Keener,173,1959-03-23,tt5052448
nm0000156,Jeff Goldblum,194,1952-10-22,
nm0001424,Udo Kier,180,1944-10-14,"tt1389072,tt2762506,tt1667354"
nm0000158,Tom Hanks,183,1956-07-09,
nm0001457,James Le Gros,176,1962-04-27,tt4468634
nm0000160,Ethan Hawke,179,1970-11-06,
nm0001460,Mimi Leder,,1952-01-26,tt4669788
nm0000161,Salma Hayek,157,1966-09-02,
nm0001626,Christopher Plummer,179,1929-12-13,tt5294550
nm0000162,Anne Heche,165,1969-05-25,
nm0001667,Jonathan Rhys Meyers,177,1977-07-27,tt3300980
nm0000163,Dustin Hoffman,167,1937-08-08,
nm0001707,Paul Schrader,173,1946-07-22,tt6053438
nm0000164,Anthony Hopkins,175,1937-12-31,
nm0001765,Harry Dean Stanton,173,1926-07-14,tt5859238
nm0000166,Helen Hunt,170,1963-06-15,
nm0001772,Patrick Stewart,178,1940-07-13,tt3315342
nm0000167,Elizabeth Hurley,173,1965-06-10,
nm0001838,Rachel Weisz,168,1970-03-07,tt5083738
nm0000168,Samuel L. Jackson,189,1948-12-21,
nm0001845,Forest Whitaker,188,1961-07-15,tt1825683
nm0000169,Tommy Lee Jones,183,1946-09-15,
nm0001856,Oprah Winfrey,169,1954-01-29,tt1620680
nm0000170,Milla Jovovich,174,1975-12-17,
nm0001971,Ewen Bremner,173,1972-01-23,"tt0451279,tt2763304"
nm0000172,Harvey Keitel,171,1939-05-13,
nm0001987,Tantoo Cardinal,,1950-07-20,tt5362988
nm0000173,Nicole Kidman,180,1967-06-20,
nm0002005,Agatha Christie,,1890-09-15,tt3402236
nm0000179,Jude Law,178,1972-12-29,
nm0002033,Tyne Daly,166,1946-02-21,tt2250912
nm0000180,David Lean,186,1908-03-25,
nm0002077,Dexter Fletcher,168,1966-01-31,"tt2066051,tt1727824"
nm0000182,Jennifer Lopez,164,1969-07-24,
nm0002090,Zach Galligan,178,1964-02-14,tt6038042
nm0000183,Traci Lords,170,1968-05-07,
nm0002140,Agnieszka Holland,,1948-11-28,tt5328350
nm0000185,Dolph Lundgren,196,1957-11-03,
nm0002191,Jacques Audiard,174,1952-04-30,tt4971344
nm0000186,David Lynch,178,1946-01-20,
nm0002253,John Carroll Lynch,193,1963-08-01,tt4276820
nm0000190,Matthew McConaughey,182,1969-11-04,
nm0002645,Paolo Genovese,,1966-08-20,tt7063210
nm0000191,Ewan McGregor,177,1971-03-31,
nm0002672,Joseph Conlan,,,tt4664244
nm0000193,Demi Moore,165,1962-11-11,
nm0002692,Joshua Tunick,,1977-04-04,tt4723724
nm0000194,Julianne Moore,160,1960-12-03,
nm0002888,Stephen Blackehart,188,1967-12-01,tt3896198
nm0002998,Kenneth Hughes,,,tt5634962
nm0000200,Bill Paxton,183,1955-05-17,
nm0003400,Joram Lürsen,,1963-08-11,tt4610378
nm0000201,Michelle Pfeiffer,171,1958-04-29,
nm0003482,Nash Edgerton,183,1973-01-19,tt3721964
nm0000202,Ryan Phillippe,173,1974-09-10,
nm0003506,James Mangold,183,1963-12-16,tt3315342
nm0000204,Natalie Portman,160,1981-06-09,
nm0003761,Edward T. McDougal,,,tt0235166
nm0000206,Keanu Reeves,186,1964-09-02,
nm0003832,Ingrid Schoelderle,172,1952-05-28,tt9097694
nm0000208,Molly Ringwald,173,1968-02-18,
nm0003836,Michael Powell,188,1905-09-30,tt0038733
nm0000210,Julia Roberts,175,1967-10-28,
nm0003922,Michael Goi,178,1959-03-04,tt5834854
nm0000211,Mimi Rogers,173,1956-01-27,
nm0004217,André Øvredal,,,"tt3387520,tt3289956"
nm0000213,Winona Ryder,161,1971-10-29,
nm0004335,Hrithik Roshan,175,1974-01-10,tt7485048
nm0000214,Mia Sara,163,1967-06-19,
nm0004694,Christina Aguilera,157,1980-12-18,tt4877122
nm0000218,Kristin Scott Thomas,168,1960-05-24,
nm0004715,Will Arnett,189,1970-05-04,tt4116284
nm0000219,Steven Seagal,193,1952-04-10,
nm0004716,Darren Aronofsky,183,1969-02-12,tt5109784
nm0000220,Joan Severance,175,1958-12-23,
nm0004729,Michael Beach,170,1963-10-30,"tt7125860,tt1477834"
nm0000221,Charlie Sheen,178,1965-09-03,
nm0004737,Shari Belafonte,165,1954-09-22,tt2435970
nm0000222,Brooke Shields,183,1965-05-31,
nm0004886,Bill Duke,194,1943-02-26,tt6998518
nm0000223,Elisabeth Shue,157,1963-10-06,
nm0004921,Joely Fisher,170,1967-10-29,tt4494094
nm0000224,Alicia Silverstone,165,1976-10-04,
nm0004936,Ben Foster,175,1980-10-29,tt3892172
nm0000225,Christian Slater,174,1969-08-18,
nm0005020,Josh Hopkins,188,1970-09-12,tt3829920
nm0000226,Will Smith,188,1968-09-25,
nm0005102,Lindsay Hartley,160,1978-04-17,tt6932340
nm0000227,Mira Sorvino,178,1967-09-28,
nm0005299,Sarah Paulson,168,1974-12-17,tt6823368
nm0000230,Sylvester Stallone,177,1946-07-06,
nm0005351,Ryan Reynolds,188,1976-10-23,tt5463162
nm0005377,Sam Rockwell,173,1968-11-05,tt5027774
nm0000235,Uma Thurman,180,1970-04-29,
nm0005380,Ray Romano,187,1957-12-21,tt5462602
nm0000237,John Travolta,188,1954-02-18,
nm0005404,Rusty Schwimmer,165,1962-08-25,tt1082807
nm0000240,Skeet Ulrich,183,1970-01-20,
nm0005458,Jason Statham,178,1967-07-26,tt4779682
nm0000241,Jean-Claude Van Damme,177,1960-10-18,
nm0005491,Maura Tierney,160,1965-02-03,tt1226837
nm0000242,Mark Wahlberg,173,1971-06-05,
nm0005513,Alanna Ubach,160,1975-10-03,tt2380307
nm0005552,Kym Whitley,,1961-06-07,tt3401882
nm0000246,Bruce Willis,183,1955-03-19,
nm0005616,Aaron Woodley,,1971,"tt4426464,tt3228088,tt1650535"
nm0000250,Renée Zellweger,160,1969-04-25,
nm0005628,Oliver Schmitz,,1960,tt4627352
nm0000254,Isabelle Adjani,163,1955-06-27,
nm0006369,Ashok Kumar,,1911-10-13,tt0147855
nm0000255,Ben Affleck,192,1972-08-15,
nm0006560,Sarah Levy,,,"tt1825683,tt4154756,tt4154796,tt4154664"
nm0000264,Pedro Almodóvar,177,1949-09-25,
nm0006845,Sally Potter,,1949-09-19,tt5814592
nm0000266,Ursula Andress,168,1936-03-19,
nm0006846,Ric Roman Waugh,,1968-02-20,"tt6189022,tt4633690"
nm0000272,Fanny Ardant,174,1949-03-22,
nm0007102,Tabu,169,1970-11-04,tt8108198
nm0000274,David Arquette,178,1971-09-08,
nm0007107,Urmila Matondkar,156,1974-02-04,tt0352314
nm0000275,Rosanna Arquette,164,1959-08-10,
nm0007154,Stephen Marcus,193,1962-06-18,tt6962204
nm0000276,Sean Astin,170,1971-02-25,
nm0007193,Richie Keen,,,tt3401882
nm0000277,Richard Attenborough,170,1923-08-29,
nm0007622,Sou Abadi,,1968-06-18,tt5636222
nm0000278,Pernilla August,173,1958-02-13,
nm0007814,Hiam Abbass,,1960-11-30,tt1856101
nm0000281,Scott Baio,178,1960-09-22,
nm0008084,Carol Abboud,,,tt7385556
nm0000285,Alec Baldwin,180,1958-04-03,
nm0008193,Nadia Abdelouafi,,1978-03-21,tt8974368
nm0000286,Stephen Baldwin,178,1966-05-12,
nm0008243,Rustem Abdrashev,,,tt9011132
nm0008332,Aktan Arym Kubat,,1957,tt5612426
nm0009252,Roy Abramsohn,,,"tt7668870,tt6215044"
nm0000293,Sean Bean,179,1959-04-17,
nm0009496,Clarisse Abujamra,,1947-04-03,tt5631456
nm0000297,Tom Berenger,180,1949-05-31,
nm0009730,Toneey Acevedo,,,tt1488606
nm0000299,Michael Biehn,182,1956-07-31,
nm0010207,Juana Acosta,,1976-11-28,"tt6101820,tt3673036"
nm0000300,Juliette Binoche,168,1964-03-09,
nm0010611,Piotr Adamczyk,182,1972-03-21,tt5370828
nm0000301,Thora Birch,163,1982-03-11,
nm0010653,Kasia Adamik,,1972-12-28,tt5328350
nm0000302,Jacqueline Bisset,169,1944-09-13,
nm0011639,Lisa Addario,,1968-07-25,tt5779540
nm0000307,Helena Bonham Carter,157,1966-05-26,
nm0011752,Maren Ade,,1976-12-12,tt4048272
nm0000309,David Bowie,178,1947-01-08,
nm0011775,Ghadah Adel,,,tt10497826
nm0000313,Jeff Bridges,187,1949-12-04,
nm0012078,Scott Adkins,178,1976-06-17,tt6237612
nm0000319,Yancy Butler,170,1970-07-02,
nm0012081,Trace Adkins,198,1962-01-13,tt6450186
nm0000321,Gabriel Byrne,178,1950-05-12,
nm0012707,Rodney Afif,,,"tt5461944,tt1790809"
nm0000322,Emmanuelle Béart,163,1963-08-14,
nm0013138,Jim Agnew,,,tt5864904
nm0000323,Michael Caine,188,1933-03-14,
nm0013841,Pegah Ahangarani,,,tt5888276
nm0000324,Barbara Carrera,173,1945-12-31,
nm0014105,Rafik Ali Ahmad,,,tt6350558
nm0000328,Richard Chamberlain,185,1934-03-31,
nm0014474,Umie Aida,,1973-01-18,tt0862930
nm0000329,Jackie Chan,174,1954-04-07,
nm0014960,Alexandre Aja,,1978-08-07,tt8364368
nm0000331,Chevy Chase,192,1943-10-08,
nm0015295,Zoya Akhtar,,1972-10-14,tt2395469
nm0000334,Yun-Fat Chow,186,1955-05-18,
nm0015359,Fatih Akin,,1973-08-25,tt5723272
nm0000335,Glenn Close,165,1947-03-19,
nm0016074,Albert Alarr,,,tt4109632
nm0000344,Denise Crosby,173,1957-11-24,
nm0018121,Flávia Alessandra,167,1974-06-07,tt6471684
nm0000345,Billy Crystal,170,1948-03-14,
nm0018554,Khandi Alexander,163,1957-09-04,tt4572514
nm0000352,Vincent D Onofrio,192,1959-06-30,
nm0019247,Tomas Alfredson,178,1965-04-01,tt1758810
nm0020143,Landry Allbright,163,1989-08-01,tt4974778
nm0000354,Matt Damon,178,1970-10-08,
nm0020329,Brittany Allen,174,1986-02-05,"tt7073710,tt5735280"
nm0000358,Daniel Day-Lewis,187,1957-04-29,
nm0021823,Cleia Almeida,165,1982-11-24,tt5528282
nm0000360,Rebecca De Mornay,166,1959-08-29,
nm0022198,Johnny Alonso,173,1970-11-22,"tt5679554,tt5834362"
nm0000362,Danny DeVito,147,1944-11-17,
nm0022609,Hanna Alström,171,1981-03-05,"tt4649466,tt5287168"
nm0000363,Loren Dean,180,1969-07-31,
nm0023361,Laura Alvea,,1976-12-20,tt3954646
nm0000365,Julie Delpy,173,1969-12-21,
nm0025435,Simon Amstell,178,1979-11-29,"tt6667360,tt7455076"
nm0000366,Catherine Deneuve,168,1943-10-22,
nm0025955,Adam Thomas Anderegg,,,tt7078004
nm0000367,Gérard Depardieu,180,1948-12-27,
nm0026174,John Andreas Andersen,,,tt6523720
nm0029458,Hélène Angel,,1967-05-03,tt5180240
nm0029754,Angelyne,,1950-10-02,tt3521126
nm0000374,Brad Dourif,175,1950-03-18,
nm0030791,Sathyan Anthikad,,,tt8286926
nm0000375,Robert Downey Jr.,174,1965-04-04,
nm0031342,Predrag Antonijevic,,1959-02-07,tt5178964
nm0000377,Richard Dreyfuss,165,1947-10-29,
nm0031483,Atle Antonsen,189,1969-08-11,tt7597486
nm0000378,Minnie Driver,178,1970-01-31,
nm0031590,Jackson Antunes,,1953-08-28,tt6544940
nm0000379,Kirsten Dunst,170,1982-04-30,
nm0032714,Sharif Arafah,,,tt10503934
nm0000382,Atom Egoyan,170,1960-07-19,
nm0033240,Aleksandr Aravin,,1958-06-29,tt8816130
nm0033550,Enrique Arce,168,,tt6450804
nm0035018,Arjun Sarja,,1962-08-15,tt7179784
nm0000387,Robert Englund,179,1947-06-06,
nm0035128,Swann Arlaud,,1981-11-30,"tt6805302,tt8095860"
nm0036237,Cameron Arnett,,1960-10-14,"tt7783966,tt8186318"
nm0036537,Lisa Arnold,168,,tt4703182
nm0000397,Corey Feldman,165,1971-07-16,
nm0036553,Mark Arnold,183,1957-05-23,tt1856101
nm0000401,Laurence Fishburne,184,1961-07-30,
nm0037575,Thomas Arslan,,1962-07-16,tt6425734
nm0037708,Miguel Arteta,,1965,tt6958014
nm0000407,Vivica A. Fox,170,1964-07-30,
nm0038231,Daniel Aráoz,,,tt6386168
nm0000409,Brendan Fraser,190,1968-12-03,
nm0038355,Tadanobu Asano,179,1973-11-27,tt3501632
nm0000416,Terry Gilliam,175,1940-11-22,
nm0038690,Lorraine Ashbourne,,1961-01-07,tt5716464
nm0000417,Crispin Glover,178,1964-04-20,
nm0039327,Mark Ashworth,178,,tt3517870
nm0000418,Danny Glover,192,1946-07-22,
nm0040010,Adam Astill,183,,tt5294550
nm0000420,Valeria Golino,170,1965-10-22,
nm0040038,Barry Atsma,,1972-12-29,tt4610378
nm0000421,Cuba Gooding Jr.,178,1968-01-02,
nm0040630,Mark Atkins,,,tt10238788
nm0000422,John Goodman,188,1952-06-20,
nm0040939,Yvan Attal,169,1965-01-04,tt6462462
nm0000424,Hugh Grant,180,1960-09-09,
nm0041315,Robin Aubert,,,tt6243140
nm0000427,Pam Grier,173,1949-05-26,
nm0041528,Erik Aude,185,1980-04-05,tt5013056
nm0042768,Alexandre Avancini,,,"tt6910020,tt10738914"
nm0000436,Curtis Hanson,185,1945-03-24,
nm0045489,Þorsteinn Bachmann,,1965-10-25,"tt6223806,tt7358598"
nm0000437,Woody Harrelson,177,1961-07-23,
nm0046256,Livio Badurina,,1965-12-20,"tt8028150,tt6353036"
nm0000438,Ed Harris,175,1950-11-28,
nm0047419,Miranda Bailey,200,1977-01-30,tt6547044
nm0000439,Neil Patrick Harris,183,1973-06-15,
nm0048083,Anna Banshchikova,200,1975-01-24,tt2700194
nm0000442,Rutger Hauer,187,1944-01-23,
nm0048159,Ariyon Bakare,200,1971,tt5442430
nm0000444,Glenne Headly,173,1955-03-13,
nm0048192,Edward Baker-Duly,200,1977,"tt2943946,tt8887846"
nm0000447,Marilu Henner,170,1952-04-06,
nm0048260,Betsy Baker,,1955-05-08,tt0083907
nm0000448,Lance Henriksen,179,1940-05-05,
nm0049033,Nick Baker-Monteys,,,tt5790534
nm0049235,Mohammad Bakri,200,1953-11-27,"tt1961175,tt6695212"
nm0000458,William Hurt,188,1950-03-20,
nm0049395,Nandamuri Balakrishna,200,1960-06-10,tt5832544
nm0000459,Timothy Hutton,183,1960-08-16,
nm0049623,Dave Bald Eagle,,1919-04-08,tt3951908
nm0000460,Jeremy Irons,187,1948-09-19,
nm0050959,Pedro Pascal,200,1975-04-02,"tt3766354,tt4649466,tt2034800"
nm0000461,Michael Ironside,179,1950-02-12,
nm0051397,Jamie Bamber,200,1973-04-03,tt4715356
nm0000463,Famke Janssen,182,1964-11-05,
nm0051903,Claes Bang,200,1967-04-28,tt4995790
nm0000465,Ron Jeremy,171,1953-03-12,
nm0051930,Vivian Bang,200,1973-10-23,"tt7374948,tt7689950"
nm0000467,Don Johnson,175,1949-12-15,
nm0052186,Jonathan Banks,200,1947-01-31,tt2396589
nm0000473,Diane Keaton,169,1946-01-05,
nm0052600,Radu Bânzaru,200,1968-04-26,tt4048272
nm0053443,Nigel Barber,200,,tt4687410
nm0000476,Sally Kirkland,175,1941-10-31,
nm0053556,Ken Barbet,,,tt3809960
nm0000483,Christopher Lambert,181,1957-03-29,
nm0056048,Drew Barnhardt,,,tt4968782
nm0000487,Ang Lee,170,1954-10-23,
nm0056651,Gabriel Barragan Senties,,,"tt5537228,tt8469890"
nm0057842,Olivier Baroux,,1964-01-05,tt8163224
nm0000492,Jennifer Jason Leigh,160,1962-02-05,
nm0058401,Sharunas Bartas,,1964-08-16,tt6464290
nm0000496,Juliette Lewis,168,1973-06-21,
nm0059277,Todd Bartoo,,,tt4454834
nm0000499,Bai Ling,160,1966-10-10,
nm0060544,Ali Bastian,200,1982,tt5371408
nm0000500,Richard Linklater,175,1960-07-30,
nm0063769,Charlie Bean,,,tt3014284
nm0000501,Ray Liotta,183,1954-12-18,
nm0065007,Demián Bichir,200,1963-08-01,tt5814060
nm0000502,Christopher Lloyd,185,1938-10-22,
nm0065638,Michael Raso,200,1964-04-20,tt6492158
nm0000504,Amy Locane,168,1971-12-19,
nm0066763,Bibiana Beglau,200,1971-07-16,tt5089068
nm0000505,Nia Long,157,1970-10-30,
nm0067457,Timur Bekmambetov,200,1961-06-25,tt7826276
nm0000507,Rob Lowe,178,1964-03-17,
nm0068042,Ashley Bell,200,,tt4513316
nm0000510,Andie MacDowell,173,1958-04-21,
nm0068187,Emma Bell,200,1986-12-17,tt2392830
nm0000511,Shirley MacLaine,170,1934-04-24,
nm0070589,Niclas Bendixen,,,tt8713190
nm0000513,William H. Macy,173,1950-03-13,
nm0070685,Arianne Benedetti,,,tt5870084
nm0000514,Michael Madsen,188,1957-09-25,
nm0071330,Marc Benjamin,200,1986-04-15,tt7333070
nm0000517,Terrence Malick,170,1943-11-30,
nm0072556,Laura Benson,,,tt4949112
nm0000518,John Malkovich,183,1953-12-09,
nm0072713,Lyriq Bent,200,,tt6063050
nm0000522,Vanessa Marcil,163,1968-10-15,
nm0072829,John Eric Bentley,200,1969-08-31,tt6628394
nm0000524,Mary Stuart Masterson,163,1966-06-28,
nm0072883,Rowena Bentley,,,"tt7715192,tt6623390"
nm0000526,Samantha Mathis,165,1970-05-12,
nm0074163,Edward Berger,,1970,tt8811474
nm0000529,Debi Mazar,165,1964-08-13,
nm0074311,Pablo Berger,,1963,tt5187886
nm0000532,Malcolm McDowell,174,1943-06-13,
nm0075303,Ed Berke,,,tt4283414
nm0000538,Colm Meaney,180,1953-05-30,
nm0075321,Christian Berkel,200,1957-10-28,tt3716530
nm0000539,Dina Meyer,170,1968-12-22,
nm0075528,Greg Berlanti,,1972-05-24,tt5164432
nm0000540,Russ Meyer,185,1922-03-21,
nm0075650,Charles Berling,,1958-04-30,tt3716530
nm0000542,Penelope Ann Miller,170,1964-01-13,
nm0075696,Andrea Berloff,,,tt2072233
nm0000545,Helen Mirren,163,1945-07-26,
nm0076162,Tom Nolan,,1948-01-15,tt5013056
nm0076791,Kevin Bernhardt,,1961-04-02,tt5648036
nm0000547,Alfred Molina,189,1953-05-24,
nm0077397,Elizabeth Berrington,200,1970-08-03,tt8079248
nm0000551,Dermot Mulroney,177,1963-10-31,
nm0077622,Marilou Berry,200,1983-02-01,tt5964278
nm0000552,Eddie Murphy,175,1961-04-03,
nm0077879,Tommy Bertelsen,,,"tt5226512,tt2233979"
nm0000553,Liam Neeson,193,1952-06-07,
nm0078452,Valeria Bertuccelli,,1969-11-30,tt7689928
nm0000554,Sam Neill,182,1947-09-14,
nm0078664,Bobby Beshro,200,1970,tt6320684
nm0000555,Judd Nelson,178,1959-11-28,
nm0079023,Mara Bestelli,,,tt8956390
nm0000560,Nick Nolte,183,1941-02-08,
nm0079418,Daniel Betts,200,1970,tt4758646
nm0000565,Lena Olin,178,1955-03-22,
nm0079439,Jack Betts,200,1929-04-11,tt8318702
nm0000566,Julia Ormond,171,1965-01-04,
nm0079448,Maggie Betts,,,tt4513316
nm0000568,Frank Oz,188,1944-05-25,
nm0080100,David Bezmozgis,,,tt3866526
nm0000571,Mary-Louise Parker,171,1964-08-02,
nm0080238,Tanikella Bharani,200,,tt4849438
nm0000572,Sarah Jessica Parker,160,1965-03-25,
nm0081023,James Bickert,,1967-08-06,tt8178992
nm0000573,Dolly Parton,152,1946-01-19,
nm0081540,Susanne Bier,,1960-04-15,tt2737304
nm0000574,Jason Patric,178,1966-06-17,
nm0081675,Magali Biff,,,tt7230476
nm0000575,Alexandra Paul,178,1963-07-29,
nm0082052,Jan Bijvoet,,1966-12-28,tt5164184
nm0000576,Sean Penn,173,1960-08-17,
nm0082211,Haluk Bilginer,200,1954-06-05,tt1502407
nm0000579,Ron Perlman,185,1950-04-13,
nm0082776,Felix Binder,,1977,tt8639740
nm0000583,Wolfgang Petersen,178,1941-03-14,
nm0083348,Brad Bird,200,1957-09-24,tt3606756
nm0000588,Martha Plimpton,165,1970-11-16,
nm0083452,Terry Bird,,,tt6443294
nm0083655,Gil Birmingham,200,1953-07-13,tt5362988
nm0000597,Bill Pullman,187,1953-12-17,
nm0083659,John Birmingham,,1977-10-07,tt2880664
nm0000598,Dennis Quaid,183,1954-04-09,
nm0083777,Taner Birsel,200,1959,tt6316138
nm0000599,Kathleen Quinlan,165,1954-11-19,
nm0084370,Yannick Bisson,200,1969-05-16,tt4068586
nm0084502,Fabrício Bittar,,1980-07-24,"tt8753660,tt6791886"
nm0000603,Vanessa Redgrave,181,1937-01-30,
nm0084908,Edda Björgvinsdóttir,,1952-09-13,tt6223806
nm0000604,John C. Reilly,188,1965-05-24,
nm0085791,Abigail Blackmore,200,,tt4522922
nm0000606,Jean Reno,188,1948-07-30,
nm0086301,Macon Blair,,,tt1800302
nm0000610,Giovanni Ribisi,171,1974-12-17,
nm0087237,Carlos Blanco,,1959,tt5612554
nm0000612,Denise Richards,168,1971-02-17,
nm0087324,Rita Blanco,200,1963-01-11,tt5528282
nm0000613,Joely Richardson,178,1965-01-09,
nm0087756,Chris Blasman,200,,tt0926132
nm0089502,Albert Pyun,,1954,tt7008310
nm0000619,Tim Roth,170,1961-05-14,
nm0090283,Kunchacko Boban,,,tt6315524
nm0000620,Mickey Rourke,180,1952-09-16,
nm0090312,Sean Bobbitt,,1958-11-29,tt4218572
nm0000623,Rene Russo,173,1954-02-17,
nm0090674,Rainer Bock,200,1954-07-31,tt0451279
nm0000627,Greta Scacchi,173,1960-02-18,
nm0091368,Gerhard Bös,,,tt7603636
nm0000628,Johnathon Schaech,180,1969-09-10,
nm0091505,Stephen Bogaert,,,tt1396484
nm0000631,Ridley Scott,174,1937-11-30,
nm0092514,Victor Bojinov,,1972-01-23,tt5310412
nm0000638,William Shatner,177,1931-03-22,
nm0094080,Fedor Bondarchuk,200,1967-05-09,tt4731148
nm0000642,Marina Sirtis,160,1955-03-29,
nm0094744,Ron Bonk,200,,tt8387464
nm0000644,Helen Slater,173,1963-12-15,
nm0095275,Bernie Bonvoisin,,1956-07-09,tt1396484
nm0000649,Paul Sorvino,191,1939-04-13,
nm0096585,Miguel Borges,,1966-09-07,tt2050452
nm0000650,Talisa Soto,173,1967-03-27,
nm0096719,Livia Borgognoni,,,tt6320628
nm0000654,Terence Stamp,183,1938-07-22,
nm0097077,Josephine Bornebusch,200,1981-09-12,tt7408796
nm0000655,Eric Stoltz,180,1961-09-30,
nm0097517,Derrick Borte,,1967-12-07,tt6769326
nm0000656,Madeleine Stowe,173,1958-08-18,
nm0097893,Rahul Bose,200,1967-07-27,tt6180274
nm0000657,David Strathairn,182,1949-01-26,
nm0098961,Nicolas Bouchaud,,,tt7250056
nm0000661,Donald Sutherland,192,1935-07-17,
nm0099398,Nicolas Boukhrief,,1963-06-02,tt5546300
nm0000662,Kiefer Sutherland,174,1966-12-21,
nm0099797,Pascal Bourdiaux,,,tt5286268
nm0000665,D.B. Sweeney,183,1961-11-14,
nm0099841,Gilles Bourdos,,1963,tt5539466
nm0000666,Lili Taylor,157,1967-02-20,
nm0101880,Philip Boyd,200,1975-05-12,tt7784788
nm0102765,Jacek Braciak,200,1968-05-12,tt8738964
